sample,gender,age,birth,residence,screeningQuestion-1,screeningQuestion-2,screeningQuestion-3,screeningQuestion-4,screeningQuestion-5,screeningQuestion-6,screeningQuestion-7,screeningQuestion-8,screeningQuestion-9,groups,Artist,Statement,Order,ai_experience,ai_appsCount,ai_usageFrequency,ai_attitude_productive,ai_attitude_enjoyable,A_perception_emotion-1,A_perception_emotion-2,A_perception_intention-1,A_perception_intention-2,A_perception_cognition-1,A_perception_cognition-2,A_artisticValue-1,A_artisticValue-2,A_artisticValue-3,A_enjoyment-1,A_enjoyment-2,A_enjoyment-3,B_perception_emotion-1,B_perception_emotion-2,B_perception_intention-1,B_perception_intention-2,B_perception_cognition-1,B_perception_cognition-2,B_artisticValue-1,B_artisticValue-2,B_artisticValue-3,B_enjoyment-1,B_enjoyment-2,B_enjoyment-3,validation,education,income,art_education-or-profession
23,2,56,4,1,1,2,,4,5,6,,8,,5,Human,present,scene first,1,1,6,1,2,3,3,4,4,2,2,3,2,2,3,2,2,2,2,3,3,2,3,3,2,2,2,3,2,1,5,7,2
24,2,34,2,11,1,2,3,4,5,,7,8,,6,AI,present,scene first,2,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,5,4,5,5,1,5,2,2
28,2,30,2,10,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,1,6,1,1,4,5,5,5,4,5,4,3,3,3,2,1,3,4,4,4,4,4,4,3,3,4,4,3,1,6,2,2
32,2,40,3,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,2,1,1,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,1,5,4,1
33,1,40,3,1,1,,3,4,,,7,8,,7,Human,absent,scene first,1,1,3,1,1,1,4,4,3,4,4,5,4,4,5,4,3,5,5,5,4,5,5,4,4,5,4,4,4,1,5,4,2
34,1,62,5,2,1,,3,4,,6,,,,6,AI,present,scene first,2,,,,,4,4,3,4,5,4,4,5,3,3,4,3,3,4,3,2,3,3,4,3,4,4,3,4,1,5,1,2
36,1,42,3,9,1,,3,4,5,,7,8,,6,AI,present,scene first,1,2,4,1,1,4,2,5,3,2,4,5,5,5,5,4,4,5,5,5,5,3,3,4,5,4,3,4,5,1,5,2,2
37,1,38,2,14,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,3,1,1,2,2,4,2,2,2,2,4,5,5,5,5,2,2,4,2,2,2,4,4,4,4,4,4,1,5,5,2
40,1,46,3,1,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,3,2,1,1,3,3,2,2,2,4,2,3,3,2,3,2,2,1,2,2,2,2,3,2,2,2,2,1,1,5,5,2
42,1,46,3,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,5,4,2
46,2,45,3,10,1,,3,4,,6,7,8,,3,Human,absent,classroom first,1,1,2,1,1,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,4,1,2
47,1,43,3,14,1,,3,4,,,7,8,,5,Human,present,scene first,1,2,3,1,1,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,5,3,1
48,1,31,2,8,1,,3,4,,,7,8,,5,Human,present,scene first,1,1,2,1,1,3,4,3,3,4,3,3,3,4,4,3,3,2,3,2,2,2,3,2,2,1,2,2,1,1,4,4,2
49,2,52,4,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2
50,1,48,3,8,1,2,3,4,5,,,8,,4,AI,absent,classroom first,1,1,2,1,1,3,2,4,4,3,3,4,3,3,4,4,3,2,3,3,2,3,3,3,3,4,3,3,3,1,5,4,2
52,2,34,2,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,2,3,2,1,2,3,4,3,4,3,4,4,3,4,3,3,2,2,4,4,3,3,4,3,4,3,3,3,1,5,3,1
57,2,34,2,6,1,2,3,4,,,7,8,,3,Human,absent,classroom first,2,,,,,2,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,1,2,3,2
58,1,49,3,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,3,1,2,3,4,4,4,3,4,3,3,4,3,4,2,2,1,4,3,2,2,3,3,3,3,4,2,1,5,4,2
60,2,46,3,2,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,5,1,2,3,3,4,4,3,3,3,3,4,3,4,3,3,3,4,4,3,3,4,4,4,4,4,3,1,5,2,2
61,1,46,3,13,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,2,,,,,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,1,4,4,2
62,1,51,4,3,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,2,,,,,2,2,4,4,2,3,2,2,2,4,4,2,2,2,4,4,3,3,4,2,3,2,4,2,2,6,4,2
69,1,35,2,8,1,,3,4,5,,7,8,,3,Human,absent,classroom first,1,1,4,1,1,4,5,4,5,5,4,5,5,5,5,5,3,5,5,5,5,5,4,5,5,4,5,3,3,1,6,2,2
71,1,34,2,6,1,,3,4,5,,7,8,,5,Human,present,scene first,1,1,3,1,1,4,3,3,3,2,3,3,2,3,3,2,3,3,2,3,2,3,2,2,3,2,2,2,2,2,8,3,2
73,2,41,3,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,4,2,1,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,5,5,4,5,5,4,2,5,1,2
74,1,29,1,1,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,3,1,1,1,2,4,3,3,4,4,3,3,2,4,3,2,5,5,5,5,5,5,5,3,5,2,4,4,1,2,1,1
76,1,39,2,1,1,2,3,4,5,6,,8,,3,Human,absent,classroom first,1,4,2,1,1,3,3,2,2,3,2,2,2,3,2,3,2,2,3,3,3,2,2,2,2,3,2,3,2,1,6,2,2
79,1,35,2,8,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,3,3,1,1,4,2,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,1,4,7,2
80,2,49,3,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,3,2,1,4,4,4,4,4,4,4,3,3,3,3,2,3,4,4,4,3,3,3,3,3,4,3,3,1,5,7,1
82,2,34,2,8,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,4,1,2,3,3,4,4,3,2,3,4,4,3,3,2,3,3,4,3,2,2,2,3,2,3,2,2,1,5,1,2
90,1,33,2,12,1,2,3,4,,,,,,1,Human,present,classroom first,1,2,4,1,1,4,3,2,4,4,2,2,4,5,5,4,3,4,4,5,4,5,2,4,4,3,4,3,4,1,5,2,2
95,1,45,3,6,1,,3,4,,6,7,8,,1,Human,present,classroom first,2,,,,,4,4,3,4,4,4,4,2,3,3,2,3,4,4,4,3,4,4,4,3,4,4,4,4,2,4,3,2
96,1,36,2,1,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,3,2,1,2,2,3,4,3,3,3,2,4,3,3,3,1,3,2,3,3,2,2,2,2,2,2,3,1,2,5,3,1
98,1,53,4,6,1,2,3,4,,6,7,8,,7,Human,absent,scene first,2,,,,,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,1,5,5,2
99,2,32,2,8,1,,3,4,5,,7,8,,1,Human,present,classroom first,1,1,5,2,2,4,4,3,3,3,4,4,4,4,3,3,2,3,4,3,4,3,4,4,5,4,4,4,3,1,2,2,2
100,1,45,3,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,2,,,,,5,3,4,4,5,4,5,5,4,5,5,4,4,5,3,3,4,5,4,5,5,5,4,4,1,2,2,2
102,1,55,4,1,1,2,3,4,5,,7,8,,8,AI,absent,scene first,1,2,2,1,1,2,2,4,2,2,3,3,3,4,4,4,3,2,2,4,2,2,3,3,2,4,3,4,3,1,6,5,2
106,2,44,3,8,1,,3,4,5,,7,8,,4,AI,absent,classroom first,1,1,3,1,1,2,2,2,2,2,2,1,1,2,1,4,2,3,3,4,3,3,3,3,2,2,2,3,2,1,5,3,2
107,1,29,1,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,4,1,2,3,3,4,3,4,4,4,3,4,3,4,2,3,2,4,3,4,4,4,3,4,3,4,2,1,5,2,2
108,1,44,3,8,1,,,4,,6,,8,,2,AI,present,classroom first,2,,,,,4,4,4,3,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,5,5,4,4,1,2,2,2
111,2,51,4,1,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,4,2,2,4,1,4,5,1,4,3,1,1,1,4,1,3,1,5,5,5,1,2,1,4,1,4,1,1,4,2,1
113,1,52,4,3,1,2,3,4,,,7,8,,3,Human,absent,classroom first,1,1,4,1,1,4,4,3,4,4,3,4,3,5,3,5,3,4,3,5,4,5,4,3,5,4,3,5,4,1,5,3,2
114,2,31,2,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,2,1,1,2,2,4,2,3,2,2,3,3,2,3,3,3,2,4,3,2,2,2,2,2,2,2,2,1,5,3,2
117,2,60,5,15,1,,3,4,5,,,,,7,Human,absent,scene first,2,,,,,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,1,6,5,2
118,2,28,1,1,1,2,3,4,5,,7,8,,5,Human,present,scene first,1,3,1,1,1,2,3,3,4,3,4,4,4,4,4,4,3,4,4,4,5,4,5,5,3,4,3,5,4,1,5,2,2
119,2,31,2,1,1,,,4,5,,7,8,,5,Human,present,scene first,1,2,3,1,1,2,2,2,2,2,2,2,2,5,4,4,2,2,3,2,3,2,3,3,3,4,2,3,2,2,5,2,1
120,1,48,3,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,1,5,4,1
122,1,61,5,15,1,,3,4,5,,7,8,,3,Human,absent,classroom first,2,,,,,3,4,3,4,3,4,4,3,4,3,4,3,3,4,4,3,3,4,4,3,3,4,3,3,1,2,2,2
125,1,54,4,8,1,,3,4,,,,8,,8,AI,absent,scene first,2,,,,,4,4,3,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,3,1,2,3,2
127,2,25,1,8,1,,3,4,5,6,7,8,,1,Human,present,classroom first,2,,,,,4,4,5,3,3,4,4,4,4,4,4,3,2,4,3,3,4,4,3,4,3,4,4,4,1,2,2,2
133,1,52,4,8,1,,3,4,,6,7,8,,4,AI,absent,classroom first,2,,,,,2,2,4,3,3,4,3,3,3,4,4,3,2,3,3,4,4,3,4,4,3,3,4,3,1,4,4,2
135,1,38,2,8,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,1,3,1,1,4,3,2,2,2,4,2,4,3,3,4,3,2,2,2,2,2,3,3,2,3,2,3,2,1,6,3,2
139,1,34,2,4,1,,3,4,,,7,8,,7,Human,absent,scene first,1,1,4,2,2,3,3,2,2,2,2,5,3,5,4,3,3,4,3,3,2,2,2,3,3,4,3,2,1,1,5,1,2
141,1,47,3,4,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,3,1,1,1,3,4,4,5,5,4,4,4,4,5,4,4,4,5,4,5,5,5,5,5,5,4,4,4,2,6,5,2
144,1,52,4,14,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,2,3,1,1,2,3,4,4,5,4,4,5,4,5,5,5,4,3,4,4,4,4,4,5,4,5,4,5,2,5,3,2
145,2,44,3,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,2,1,1,3,3,5,5,3,4,5,4,4,3,5,3,3,4,5,4,5,4,4,3,3,4,5,4,2,5,4,2
146,1,25,1,8,1,2,3,4,5,6,7,8,,5,Human,present,scene first,2,,,,,3,4,4,3,3,3,4,3,3,3,3,3,4,3,4,4,3,4,4,3,4,3,3,3,1,2,7,2
149,1,47,3,9,1,2,3,4,,6,7,8,,6,AI,present,scene first,1,2,2,1,1,3,4,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,2,2,2,1,3,1,1,5,2,2
150,1,54,4,7,1,2,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,3,3,2,3,3,3,4,3,3,3,3,3,2,2,4,2,1,2,3,2,3,2,3,3,1,8,2,2
151,1,21,1,1,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,3,4,1,1,3,3,4,5,3,3,5,4,4,4,5,3,3,3,5,5,3,3,5,3,5,3,5,4,1,3,7,2
154,1,39,2,8,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,5,2,1,1,4,4,5,4,4,5,5,4,4,4,5,4,4,4,5,4,4,5,4,4,5,3,4,5,1,5,3,2
155,1,56,4,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,6,1,1,3,3,4,3,1,3,3,1,1,1,1,1,3,3,3,4,3,3,2,2,2,2,3,2,2,5,4,2
156,1,36,2,8,1,2,3,4,5,,7,8,,1,Human,present,classroom first,2,,,,,3,4,4,4,4,5,5,3,5,3,3,2,3,4,4,4,3,3,5,3,5,3,3,2,1,5,2,2
157,2,34,2,4,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,2,,,,,2,2,4,1,1,1,2,3,4,3,2,1,2,2,2,2,2,1,3,3,4,3,3,1,1,4,3,2
159,1,48,3,2,1,2,3,4,,,,8,,5,Human,present,scene first,1,1,2,1,1,2,3,2,2,3,3,2,3,2,3,3,4,4,3,4,3,4,3,4,3,4,4,3,4,1,6,5,2
160,2,33,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,4,2,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,3,4,4,5,5,4,4,4,1,5,2,2
161,1,40,3,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,4,1,1,3,4,4,2,3,3,2,4,4,3,4,2,4,4,4,2,3,3,4,2,4,3,4,2,1,5,3,2
162,1,45,3,1,1,,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,4,2,1,3,2,3,3,3,3,2,2,3,2,3,1,3,3,3,2,2,3,2,2,2,3,3,1,1,5,3,2
164,2,23,1,16,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,1,7,1,1,1,2,5,5,4,4,5,3,5,4,4,3,1,1,5,5,4,5,4,3,4,2,5,2,1,3,1,2
166,1,35,2,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,2,,,,,4,3,4,4,3,4,2,3,2,2,2,1,3,4,4,4,3,4,4,3,3,3,3,2,1,5,2,2
169,1,68,5,8,1,,,,,,,,,2,AI,present,classroom first,2,,,,,3,3,4,4,3,3,4,3,4,3,4,4,4,4,3,4,4,3,4,3,3,3,4,3,1,5,3,2
170,2,57,4,9,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,1,1,3,1,1,3,2,2,2,3,3,2,2,2,2,2,2,3,4,4,3,3,4,3,4,4,4,3,3,2,5,5,2
171,2,37,2,8,1,2,3,4,,6,7,8,,7,Human,absent,scene first,1,1,6,1,1,3,2,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,5,1,2
172,1,48,3,3,1,2,3,4,5,6,7,8,,6,AI,present,scene first,2,,,,,3,1,3,1,1,1,3,3,4,4,4,3,1,1,1,1,1,1,4,4,4,4,4,3,2,5,3,2
173,2,54,4,1,1,2,3,4,5,,7,8,,8,AI,absent,scene first,1,1,6,2,2,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,1,8,2,1
174,2,47,3,15,1,2,3,4,,,7,8,,5,Human,present,scene first,1,1,3,2,1,2,4,4,4,3,4,2,4,4,4,4,3,5,5,4,5,5,5,5,3,5,3,5,5,1,2,1,2
179,1,64,5,8,1,2,3,,,,,8,,5,Human,present,scene first,1,2,2,1,1,3,4,3,3,3,4,4,3,4,4,4,4,3,3,4,3,4,3,3,3,4,3,4,3,1,5,4,2
180,1,36,2,8,1,2,3,4,5,,,8,,7,Human,absent,scene first,1,1,4,1,2,3,2,3,4,3,3,4,4,3,3,4,3,2,2,4,3,2,3,2,4,3,4,3,3,1,4,2,2
181,2,42,3,9,1,,3,4,5,,,8,,6,AI,present,scene first,2,,,,,4,4,4,3,4,4,4,4,4,4,4,4,2,3,4,3,4,3,3,2,2,2,2,2,1,4,3,2
185,1,49,3,1,1,2,,4,,,7,8,,8,AI,absent,scene first,2,,,,,3,3,4,4,3,3,5,4,5,4,5,4,3,3,3,4,3,3,5,4,5,4,5,4,1,5,3,2
186,2,41,3,7,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,2,,,,,2,2,4,4,2,1,4,2,3,3,2,1,2,2,4,3,3,3,4,3,4,3,3,3,1,4,3,2
188,1,32,2,8,1,2,3,4,5,,7,8,,4,AI,absent,classroom first,2,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,5,4,2
190,1,51,4,4,1,,3,4,,,7,8,,5,Human,present,scene first,2,,,,,3,3,5,4,2,3,3,3,3,3,4,2,4,4,5,4,4,4,5,4,4,4,5,4,2,2,3,2
192,2,20,1,3,1,2,3,,5,,7,8,,8,AI,absent,scene first,1,1,6,1,1,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,2,3,1,2
195,1,31,2,1,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,2,4,2,1,4,4,4,1,1,1,4,1,3,3,4,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,1,1
199,2,47,3,4,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,2,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,7,2,2
200,2,47,3,8,1,,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,3,3,4,3,3,3,4,4,4,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,1,5,7,1
201,2,61,5,1,1,2,3,4,5,,,8,,5,Human,present,scene first,1,1,5,2,1,4,4,5,3,4,5,4,4,3,5,4,3,4,4,5,5,3,5,4,4,4,5,5,4,2,1,2,2
202,1,54,4,11,1,2,3,4,5,6,7,8,,1,Human,present,classroom first,2,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,3,1,4,4,2
208,1,43,3,8,1,2,3,4,5,,7,8,,6,AI,present,scene first,1,2,5,1,1,2,2,4,1,2,2,4,1,4,3,4,1,2,2,5,2,1,2,5,3,5,2,4,2,1,6,2,2
209,1,51,4,2,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,3,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,1,5,3,2
210,1,31,2,8,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,3,4,3,3,3,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,2,5,2,2
212,2,29,1,13,1,,3,,5,,7,8,,1,Human,present,classroom first,2,,,,,4,4,3,4,4,4,4,3,4,3,3,3,3,4,3,3,3,3,4,4,4,4,3,4,1,5,1,2
213,2,39,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,2,3,1,1,3,2,2,2,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,1,5,4,1
215,1,45,3,1,1,2,3,4,,,,,,3,Human,absent,classroom first,1,1,3,1,1,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2,1,5,3,2
221,1,34,2,8,1,2,3,4,5,6,7,8,,4,AI,absent,classroom first,1,3,2,1,1,2,2,4,4,3,4,5,4,5,4,5,4,4,3,4,4,3,4,4,4,4,4,5,4,1,5,6,2
223,1,50,4,3,1,2,3,,,6,7,8,,8,AI,absent,scene first,2,,,,,2,2,3,4,3,2,2,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,2,1,5,3,2
225,2,39,2,1,1,,3,4,,,7,8,,3,Human,absent,classroom first,1,1,1,1,1,5,5,5,5,4,4,4,3,3,3,4,3,2,4,4,3,3,3,3,4,3,4,3,3,1,8,4,2
232,1,36,2,1,1,2,3,4,5,6,7,8,,2,AI,present,classroom first,1,1,5,2,2,2,1,2,1,3,3,3,3,3,3,5,1,2,2,2,2,1,1,2,3,2,3,4,2,1,5,2,2
233,1,27,1,14,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,2,,,,,1,3,3,3,3,4,4,3,3,4,3,2,5,5,4,4,4,4,4,3,4,2,4,3,1,5,7,2
236,1,47,3,6,1,2,3,4,,,7,8,,1,Human,present,classroom first,2,,,,,4,4,4,4,4,4,5,4,4,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,1,5,3,2
241,2,32,2,8,1,2,3,4,5,,7,8,,7,Human,absent,scene first,2,,,,,4,4,4,3,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,2,1,4,2,2
242,2,35,2,3,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,6,2,1,2,1,3,2,4,3,3,4,3,4,3,2,2,2,2,2,1,2,3,1,2,1,2,1,2,5,3,2
244,1,26,1,8,1,2,3,4,5,6,7,8,,6,AI,present,scene first,1,3,2,1,1,3,2,4,3,3,3,4,3,4,3,3,3,2,2,5,4,3,3,4,3,4,3,3,3,2,5,2,2
247,1,45,3,8,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,1,3,1,1,2,2,3,2,1,2,3,3,2,4,4,1,3,3,4,3,2,3,4,2,3,2,4,3,2,5,4,2
251,1,48,3,1,1,2,3,4,5,6,7,8,,7,Human,absent,scene first,1,1,3,1,1,2,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,3,1,4,2,2
252,2,27,1,5,1,,3,4,5,6,7,8,,5,Human,present,scene first,2,,,,,2,2,3,4,2,1,3,1,1,3,2,1,2,2,4,3,1,2,2,1,2,1,2,1,1,5,2,2
253,2,37,2,1,1,2,3,4,,6,7,8,,7,Human,absent,scene first,1,1,3,1,1,2,2,4,4,3,3,3,2,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,4,2,5,2,2
254,1,43,3,1,1,2,3,4,5,6,7,8,,3,Human,absent,classroom first,1,1,3,1,1,3,4,3,4,4,3,4,3,4,4,4,3,2,3,3,3,3,3,4,4,3,4,4,4,1,6,3,2
255,1,28,1,12,1,2,3,4,5,6,7,8,,5,Human,present,scene first,1,3,2,1,1,2,4,4,4,5,4,5,4,4,5,4,3,5,4,5,5,5,5,5,4,5,5,5,4,1,2,2,2
257,1,41,3,8,1,2,3,4,5,,7,8,,2,AI,present,classroom first,2,,,,,2,2,3,2,3,2,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,2,2,4,2
258,2,22,1,2,1,2,,,5,,7,8,,2,AI,present,classroom first,1,3,2,1,1,4,2,5,5,3,4,5,3,5,5,5,2,2,1,4,5,3,4,5,4,5,4,3,2,1,3,1,2
259,1,31,2,8,1,2,3,4,5,,7,8,,8,AI,absent,scene first,1,2,3,1,1,2,4,4,1,1,1,4,3,2,3,4,2,4,4,3,2,2,1,4,3,4,3,4,2,2,5,2,2
260,2,61,5,1,1,,,4,5,,7,8,,5,Human,present,scene first,2,,,,,4,4,5,3,4,3,4,3,4,4,4,3,5,5,5,4,5,5,5,4,5,3,4,3,1,2,3,2
261,2,28,1,1,1,2,3,4,5,6,7,8,,8,AI,absent,scene first,1,1,6,1,2,2,1,4,4,3,1,1,2,1,1,1,1,1,1,4,4,3,1,3,1,1,1,1,1,2,4,2,1
